pattern_id,regex,grammatical_item,Sentence_type,grammatical_item_JP,Sentence_type_JP,shorthand_code,,comment,abbreviated_pattern
85,(?<!_not )(?<!_n't )\b\S+_VB.?_be (given|passed|sent|shown|taught|told)_VVN_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+),PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. DEC.,受動態(give/pass/send/show/teach/tellの間接目的語が主語),肯定平叙,PASS.IO.AFF,,,(?<!{not}) VB.? (given|passed|sent|shown|taught|told) 名詞句・代名詞
85,\S+_VB.?_be (not|n't)_\S+ (given|passed|sent|shown|taught|told)_VVN_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+),PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. DEC.,受動態(give/pass/send/show/teach/tellの間接目的語が主語),否定平叙,PASS.IO.NEG,,現在・過去の単純相に限定,VB.? {not} (given|passed|sent|shown|taught|told) 名詞句・代名詞
85,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_VB.?_be ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) (given|passed|sent|shown|taught|told)_VVN_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+).*?\?_SENT_\?",PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. INT.,受動態(give/pass/send/show/teach/tellの間接目的語が主語),肯定疑問,PASS.IO.INT.AFF,,現在・過去の単純相に限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) VB.? 名詞句・代名詞 (given|passed|sent|shown|taught|told) 名詞句・代名詞 (任意の語)*? ?
85,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(\S+_VB.?_be n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|\S+_VB.?_be+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) (given|passed|sent|shown|taught|told)_VVN_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+).*?\?_SENT_\?",PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. INT.,受動態(give/pass/send/show/teach/tellの間接目的語が主語),否定疑問,PASS.IO.INT.NEG,,現在・過去の単純相に限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) VB.? (n't 名詞句・代名詞|名詞句・代名詞 not) (given|passed|sent|shown|taught|told) 名詞句・代名詞 (任意の語)*? ?
86,(?<!_not )(?<!_n't )\b\S+_VB.?_be (given|passed|sent|shown|taught|told)_VVN_\S+ to_TO_to ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+),PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. DEC.,受動態(give/pass/send/show/teach/tellの直接目的語が主語),肯定平叙,PASS.DO.AFF,,,(?<!{not}) VB.? (given|passed|sent|shown|taught|told) to 名詞句・代名詞
86,\S+_VB.?_be (not|n't)_\S+ (given|passed|sent|shown|taught|told)_VVN_\S+ to_TO_to ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+),PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. DEC.,受動態(give/pass/send/show/teach/tellの直接目的語が主語),否定平叙,PASS.DO.NEG,,現在・過去の単純相に限定,VB.? {not} (given|passed|sent|shown|taught|told) to 名詞句・代名詞
86,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K\S+_VB.?_be ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) (given|passed|sent|shown|taught|told)_VVN_\S+ to_TO_to ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+).*?\?_SENT_\?",PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. INT.,受動態(give/pass/send/show/teach/tellの直接目的語が主語),肯定疑問,PASS.DO.INT.AFF,,現在・過去の単純相に限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) VB.? 名詞句・代名詞 (given|passed|sent|shown|taught|told) to 名詞句・代名詞 (任意の語)*? ?
86,"(^|\S+_(``|''|\(|,|:|LS|CC|IN(/that)?)_\S+)\K(\S+_VB.?_be n't_\S+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+)|\S+_VB.?_be+ ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+) not_\S+) (given|passed|sent|shown|taught|told)_VVN_\S+ to_TO_to ((\S+_(DT|PDT|CD|PP$|RB.?|JJ.?)_\S+ )*\S+_N..?_\S+|\S+_PP_\S+).*?\?_SENT_\?",PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. INT.,受動態(give/pass/send/show/teach/tellの直接目的語が主語),否定疑問,PASS.DO.INT.NEG,,現在・過去の単純相に限定；文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定,(^|区切り位置|接続詞) VB.? (n't 名詞句・代名詞|名詞句・代名詞 not) (given|passed|sent|shown|taught|told) to 名詞句・代名詞 (任意の語)*? ?
87,\S+_VV.?_get \S+_V.N_\S+,GET+PAST PARTICIPLE,,get+過去分詞,,PASS.get_VN,,getの時制・相は問わない,{get} V.N
88,(?<!_not )to_TO_to \S+_V._\S+,TO-INFINITIVE: to DO (not preceded by 'not'),,to不定詞(to DO),,TO.to_do,,,(?<!not) to V.
